Country,Region,Internet Penetration Index,Mobile Connectivity Index,Trade to GDP Ratio Index,Logistics Performance Index,Modern Renewables Share Index,CO2 Intensity Index,Business Ready Index,Political Stability Index,Financial Depth Index,Financial Reserves Index
Afghanistan,Other,0.105,0.252,0.134,0,0.128,0.005,0.361,0.037,N/A,N/A
Albania,Other,0.754,0.696,0.176,0.25,0.515,0.006,0.714,0.646,0.147,0.373
Algeria,Africa,0.662,0.529,0.097,0.25,0.002,0.002,0.428,0.441,0.084,0.627
American Samoa,Other,N/A,N/A,0.355,N/A,0.006,N/A,N/A,0.861,N/A,N/A
Andorra,Other,0.932,N/A,N/A,N/A,0.247,N/A,N/A,0.971,N/A,N/A
Angola,Africa,0.341,0.404,0.154,0.083,0.117,0.005,0.319,0.485,0.04,0.451
Anguilla,LAC,N/A,N/A,N/A,N/A,0.008,N/A,N/A,0.911,N/A,N/A
Antigua & Barbuda,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,LAC,0.85,0.691,0.058,0.375,0.119,0.004,0.584,0.597,0.066,0.524
Armenia,Other,0.739,0.713,0.223,0.25,0.114,0.004,0.816,0.437,0.281,0.316
Aruba,LAC,N/A,N/A,0.379,N/A,0.099,0.004,N/A,0.936,N/A,N/A
Australia,OECD,0.957,0.99,0.096,0.75,0.127,0.002,0.916,0.817,0.562,0.596
Austria,OECD,0.908,0.937,0.273,0.875,0.424,0.005,0.879,0.792,0.363,0.542
Azerbaijan,Other,0.847,0.707,0.191,N/A,0.017,0.003,0.849,0.426,0.114,0.44
"Bahamas, The",LAC,N/A,N/A,0.172,0.333,N/A,0.004,0.597,0.815,N/A,N/A
Bahrain,Other,1,0.847,0.373,0.667,0,0.001,0.838,0.509,N/A,0.346
Bangladesh,Other,0.333,0.518,0.056,0.292,0.004,0.006,0.374,0.394,0.155,0.492
Barbados,LAC,0.758,0.615,N/A,N/A,0.048,0.004,0.567,0.871,N/A,N/A
Belarus,Other,0.862,0.705,0.315,0.333,0.099,0.002,0.813,0.435,N/A,0.404
Belgium,OECD,0.922,0.936,0.433,0.875,0.137,0.005,0.823,0.736,0.298,0.558
Belize,LAC,0.651,0.627,0.24,N/A,0.317,0.01,0.531,0.723,0.163,0.116
Benin,Africa,0.207,0.344,0.113,0.417,0.097,0.004,0.485,0.528,0.082,N/A
Bermuda,Other,N/A,N/A,0.173,N/A,0.01,0.01,N/A,0.842,N/A,N/A
Bhutan,Other,0.809,0.59,0.182,0.25,0.134,N/A,0.689,0.828,0.23,0.18
Bolivia,LAC,N/A,0.599,0.127,0.208,N/A,0.003,0.475,0.544,0.284,0.254
Bosnia & Herzegovina,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,Africa,0.723,0.596,0.19,0.5,0.001,0.003,0.692,0.849,0.143,0.31
Brazil,LAC,0.786,0.842,0.067,0.542,0.551,0.004,0.585,0.52,0.328,0.765
British Virgin Is.,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brunei,ASEAN,0.973,0.714,0.32,N/A,0,0.002,0.75,0.894,0.162,0.334
Bulgaria,Other,0.726,0.848,0.302,0.542,0.246,0.003,0.778,0.694,0.206,0.563
Burkina Faso,Africa,0.058,0.25,0.142,0.167,0.016,0.005,0.47,0.218,0.117,N/A
Burma,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burundi,Africa,0.023,0.173,0.052,N/A,0.022,0.007,0.401,0.323,N/A,N/A
Cambodia,ASEAN,0.534,0.566,0.328,0.208,0.281,0.003,0.506,0.592,0.54,0.497
Cameroon,Africa,0.359,0.464,0.078,0.083,0.234,0.007,0.391,0.294,N/A,N/A
Canada,OECD,0.928,0.939,0.148,0.875,0.282,0.002,0.892,0.816,N/A,0.664
Cape Verde,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.817,N/A,N/A
Cayman Islands,LAC,N/A,N/A,0.268,N/A,0,0.009,N/A,0.973,N/A,N/A
Central African Rep.,Africa,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,Africa,0.037,0.172,0.192,N/A,0.014,0.007,0.253,0.294,N/A,N/A
Chile,LAC,0.895,0.842,0.144,0.458,0.316,0.004,0.787,0.641,0.448,0.565
China,CHINA,0.699,0.898,0.073,0.75,0.132,0.001,0.867,0.504,0.841,1
Colombia,LAC,0.694,0.729,0.082,0.417,0.284,0.005,0.75,0.445,0.171,0.598
Comoros,Africa,0.217,0.251,0.089,N/A,0.039,0.005,0.418,0.559,N/A,0.073
"Congo, Dem. Rep.",Africa,N/A,N/A,0.177,0.25,0.079,0.022,0.243,0.193,N/A,N/A
"Congo, Repub. of the",Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cook Islands,Other,N/A,N/A,N/A,N/A,0.068,N/A,N/A,0.876,N/A,N/A
Costa Rica,LAC,0.812,0.756,0.162,0.417,0.402,0.008,0.737,0.814,0.225,0.451
Cote d'Ivoire,Africa,N/A,0.476,0.102,N/A,N/A,0.008,N/A,N/A,0.098,N/A
Croatia,Other,0.793,0.887,0.255,0.583,0.389,0.005,0.802,0.755,0.204,0.306
Cuba,LAC,0.668,N/A,0.113,0.125,0.285,N/A,N/A,0.719,N/A,N/A
Cyprus,Other,0.89,0.886,0.444,0.542,0.164,0.004,0.799,0.701,0.254,0.259
Czech Republic,OECD,0.818,0.901,0.337,0.583,0.2,0.003,0.843,0.819,0.209,0.684
Denmark,OECD,0.98,0.992,0.287,0.917,0.468,0.009,0.978,0.815,0.617,0.654
Djibouti,Africa,0.586,N/A,0.767,0.333,0.002,0.005,0.606,0.499,0.102,0.08
Dominica,LAC,0.782,N/A,N/A,N/A,0.052,0.008,0.606,0.909,0.171,0
Dominican Republic,LAC,N/A,0.695,0.11,0.292,0.089,0.004,0.599,0.667,0.138,0.446
East Timor,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ecuador,LAC,0.658,0.666,0.116,N/A,0.211,0.003,0.564,0.544,0.243,0.379
Egypt,Africa,0.668,0.674,0.072,0.5,0.039,0.004,0.6,0.385,0.119,0.566
El Salvador,LAC,0.568,0.6,0.185,0.333,0.193,0.005,0.678,0.583,0.271,0.317
Equatorial Guinea,Africa,0.531,0.307,0.184,N/A,0.023,0.004,0.316,0.563,N/A,N/A
Eritrea,Africa,0.098,N/A,N/A,N/A,0.046,N/A,0.024,0.4,N/A,N/A
Estonia,Other,0.904,0.931,0.383,0.708,0.434,0.003,0.907,0.774,0.264,0.259
Ethiopia,Africa,0.095,0.311,0.042,N/A,0.036,0.012,0.419,0.165,N/A,0.319
Faroe Islands,Other,N/A,N/A,0.267,N/A,0.065,1,N/A,N/A,N/A,N/A
Fiji,Other,0.707,0.594,0.227,0.167,0.341,0.003,0.621,0.776,0.51,0.233
Finland,OECD,0.917,0.974,0.194,0.958,0.566,0.005,0.901,0.814,0.397,0.475
France,OECD,0.842,0.944,0.154,0.833,0.197,0.007,0.85,0.69,0.466,0.75
French Guiana,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.681,N/A,N/A
French Polynesia,Other,N/A,N/A,0.128,N/A,0.09,N/A,N/A,N/A,N/A,N/A
Gabon,Africa,0.643,0.515,0.195,0.208,0.768,0.005,0.374,0.59,N/A,N/A
"Gambia, The",Africa,N/A,N/A,0.099,0.167,N/A,0.007,0.454,0.632,N/A,N/A
Gaza Strip,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,Other,0.738,0.733,0.259,0.333,0.293,0.003,0.954,0.522,0.298,0.335
Germany,OECD,0.901,0.959,0.19,0.917,0.217,0.005,0.894,0.76,N/A,0.779
Ghana,Africa,0.552,0.537,0.159,0.25,0.136,0.005,0.599,0.615,N/A,N/A
Gibraltar,Other,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
Greece,OECD,0.786,0.855,0.209,0.75,0.235,0.004,0.725,0.646,0.209,0.458
Greenland,Other,N/A,N/A,0.206,N/A,0.138,N/A,N/A,1,N/A,N/A
Grenada,LAC,0.678,N/A,N/A,0.25,0.012,0.008,0.5,0.846,0.234,0.1
Guadeloupe,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,Other,N/A,N/A,0.159,N/A,0.037,N/A,N/A,0.81,N/A,N/A
Guatemala,LAC,0.469,0.584,0.102,0.292,0.079,0.006,0.638,0.54,0.159,0.505
Guernsey,Other,N/A,N/A,N/A,N/A,0.013,N/A,N/A,N/A,N/A,N/A
Guinea,Africa,0.182,0.317,0.238,0.25,0.036,0.008,0.44,0.427,N/A,N/A
Guinea-Bissau,Africa,0.182,0.26,0.098,0.292,0.1,0.009,0.347,0.517,0.048,N/A
Guyana,LAC,0.677,0.605,N/A,0.208,0.106,0.007,0.531,0.597,0.064,0.187
Haiti,LAC,0.344,0.402,0.073,0.083,0.052,0.005,0.31,0.332,0.018,0.286
Honduras,LAC,0.463,0.506,0.242,0.417,0.166,0.003,0.543,0.495,0.339,0.394
Hong Kong,Other,N/A,0.941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hungary,OECD,0.859,0.888,0.41,0.542,0.173,0.005,0.799,0.786,0.14,0.569
Iceland,OECD,0.998,0.933,0.191,0.708,1,0.005,0.883,0.908,0.391,0.371
India,Other,0.384,0.673,0.092,0.625,0.205,0.002,0.763,0.457,N/A,0.832
Indonesia,ASEAN,0.567,0.74,0.081,0.458,0.138,0.003,0.743,0.504,0.158,0.69
Iran,Other,N/A,0.664,0.105,0.167,N/A,0.001,0.576,0.242,N/A,N/A
Iraq,Other,0.619,0.523,0.146,0.208,0.013,0.002,0.37,0.069,0.06,0.647
Ireland,OECD,0.933,0.964,0.609,0.708,0.158,0.01,0.892,0.816,0.109,0.44
Isle of Man,Other,N/A,N/A,N/A,N/A,0.025,N/A,N/A,N/A,N/A,N/A
Israel,OECD,0.885,0.883,0.125,0.708,0.061,0.004,0.849,0.349,N/A,0.722
Italy,OECD,0.753,0.906,0.141,0.75,0.219,0.005,0.792,0.727,0.262,0.753
Jamaica,LAC,0.775,0.54,0.215,0.25,0.086,0.002,0.744,0.683,0.216,N/A
Japan,OECD,0.867,0.927,0.08,0.833,0.099,0.003,0.868,0.841,0.853,0.897
Jersey,Other,N/A,N/A,N/A,N/A,0.214,N/A,N/A,N/A,N/A,N/A
Jordan,Other,0.823,0.659,0.207,N/A,0.108,0.002,0.734,0.557,0.347,0.494
Kazakhstan,Other,0.88,0.771,0.141,0.333,0.022,0.002,0.892,0.545,0.119,0.568
Kenya,Africa,0.231,0.483,0.058,N/A,0.048,0.008,0.796,0.393,N/A,0.416
Kiribati,Other,0.609,N/A,0.214,N/A,0.013,0.002,0.403,0.867,N/A,N/A
"Korea, North",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Korea, South",OECD,N/A,0.914,0.193,0.792,0.042,0.002,0.958,0.751,N/A,0.789
Kuwait,Other,0.997,0.855,0.206,0.542,0.001,0.001,0.71,0.681,N/A,0.578
Kyrgyzstan,Other,0.751,0.6,N/A,N/A,0.355,N/A,N/A,N/A,N/A,N/A
Laos,ASEAN,N/A,0.52,N/A,0.208,0.285,0.001,0.461,0.784,N/A,N/A
Latvia,Other,0.892,0.897,0.338,0.667,0.519,0.006,0.903,0.739,0.128,0.349
Lebanon,Other,0.812,0.586,0.179,N/A,0.043,N/A,0.513,0.273,N/A,0.536
Lesotho,Africa,0.407,0.443,0.35,N/A,0.069,0.004,0.59,0.554,0.111,0.186
Liberia,Africa,0.143,0.295,N/A,0.208,0.005,0.003,0.347,0.559,N/A,N/A
Libya,Africa,0.875,0.62,0.298,0,0,0.001,0.19,0.1,0.059,0.639
Liechtenstein,Other,0.951,N/A,N/A,N/A,0.676,N/A,N/A,0.981,N/A,N/A
Lithuania,Other,0.845,0.913,0.381,0.625,0.397,0.005,0.922,0.79,0.156,0.386
Luxembourg,OECD,0.984,0.938,1,0.708,0.227,0.007,0.743,0.869,0.369,0.288
Macau,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madagascar,Africa,0.078,0.294,0.133,0.167,0.375,0.007,0.415,0.489,0.072,0.288
Malawi,Africa,0.086,0.318,N/A,N/A,0.507,0.003,0.612,0.579,N/A,N/A
Malaysia,ASEAN,0.927,0.816,0.322,0.708,0.07,0.002,0.921,0.643,0.503,0.661
Maldives,Other,0.8,0.585,0.351,N/A,0.005,0.002,0.499,0.731,0.156,0.146
Mali,Africa,0.26,0.289,0.156,0.292,0.089,0.005,0.493,0.064,0.098,N/A
Malta,Other,0.879,0.845,0.603,0.583,0.101,0.011,0.69,0.82,0.275,0.221
Marshall Islands,Other,0.57,N/A,0.298,N/A,0.004,N/A,0.463,0.846,N/A,N/A
Martinique,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.748,N/A,N/A
Mauritania,Africa,0.253,0.325,0.221,0.167,0.015,0.004,0.466,0.486,N/A,N/A
Mauritius,Africa,0.69,0.707,0.245,0.25,0.106,0.004,0.921,0.8,0.302,0.4
Mayotte,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,LAC,0.734,0.783,0.188,0.417,0.138,0.003,0.784,0.456,0.15,0.73
"Micronesia, Fed. St.",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,Other,0.671,0.761,0.221,0.25,N/A,0.002,0.814,0.508,0.127,0.356
Monaco,Other,0.957,N/A,N/A,N/A,N/A,N/A,N/A,0.88,N/A,N/A
Mongolia,Other,0.699,0.673,0.313,0.25,0.024,0.001,0.716,0.757,N/A,0.356
Montserrat,LAC,N/A,N/A,N/A,N/A,0.007,N/A,N/A,N/A,N/A,N/A
Morocco,Africa,0.866,0.62,0.196,N/A,0.094,0.003,0.799,0.53,N/A,0.547
Mozambique,Africa,0.096,0.347,0.272,N/A,0.185,0.003,0.524,0.328,0.077,0.32
N. Mariana Islands,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Namibia,Africa,0.554,0.495,0.216,0.417,0.254,0.004,0.62,0.734,N/A,0.307
Nauru,Other,0.765,N/A,0.352,N/A,0.017,N/A,N/A,0.807,N/A,N/A
Nepal,Other,N/A,0.527,0.095,N/A,0.088,0.004,0.647,0.567,0.399,N/A
Netherlands,OECD,0.928,0.962,0.414,0.917,0.118,0.006,0.84,0.789,0.353,0.623
Netherlands Antilles,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Caledonia,Other,N/A,N/A,N/A,N/A,0.076,N/A,N/A,N/A,N/A,N/A
New Zealand,OECD,0.944,0.947,0.11,0.708,0.344,0.004,1,0.926,N/A,0.495
Nicaragua,LAC,0.426,0.53,0.246,0.25,0.161,0.005,0.515,0.527,0.129,0.366
Niger,Africa,0.13,0.219,0.067,N/A,0.022,0.009,0.551,0.257,0.045,N/A
Nigeria,Africa,0.295,0.507,N/A,0.292,0.068,0.005,0.552,0.207,N/A,0.551
Norway,OECD,0.979,0.973,0.172,0.75,0.742,0.006,0.937,0.843,0.558,0.625
Oman,Other,0.939,0.743,0.222,0.583,0,0.001,0.749,0.725,N/A,0.476
Pakistan,Other,0.155,0.416,0.052,N/A,0.096,0.004,0.614,0.204,0.049,0.477
Palau,Other,N/A,N/A,0.235,N/A,0.01,0,0.504,0.868,N/A,N/A
Panama,LAC,0.712,0.737,0.195,0.5,0.226,0.006,0.698,0.673,N/A,0.378
Papua New Guinea,Other,0.169,0.415,N/A,0.333,0.157,0.004,0.596,0.48,N/A,N/A
Paraguay,LAC,0.728,0.729,0.167,0.333,0.517,0.007,0.585,0.621,0.249,N/A
Peru,LAC,0.678,0.737,0.111,0.458,0.226,0.005,0.729,0.517,N/A,0.623
Philippines,ASEAN,0.617,0.681,0.151,0.583,0.126,0.004,0.641,0.446,0.216,0.652
Poland,OECD,0.833,0.854,0.265,0.708,0.193,0.003,0.844,0.729,0.146,0.726
Portugal,OECD,0.798,0.907,0.212,0.625,0.361,0.007,0.846,0.809,0.339,0.56
Puerto Rico,LAC,0.82,N/A,0.245,N/A,0.03,0.005,0.75,0.725,N/A,N/A
Qatar,Other,0.998,0.907,0.223,0.667,0,0.001,0.729,0.809,0.52,0.584
Reunion,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romania,Other,0.807,0.821,0.202,0.542,0.29,0.006,0.798,0.721,0.098,0.615
Russia,Other,0.868,0.846,0.098,0.292,0.042,0.001,0.871,0.416,N/A,N/A
Rwanda,Africa,0.211,0.428,0.132,0.375,0.104,0.014,0.846,0.633,0.098,0.273
Saint Helena,Africa,N/A,N/A,N/A,N/A,0.067,N/A,N/A,N/A,N/A,N/A
Saint Kitts & Nevis,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Lucia,LAC,0.615,0.577,N/A,N/A,0.005,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,LAC,0.651,0.588,N/A,N/A,0.037,N/A,N/A,N/A,N/A,N/A
Samoa,Other,0.505,0.618,0.176,N/A,0.063,0.001,0.63,0.865,0.333,0.118
San Marino,Other,0.784,N/A,0.855,N/A,N/A,N/A,0.662,0.88,N/A,N/A
Sao Tome & Principe,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,Other,0.987,0.831,0.131,0.625,0,0.002,0.772,0.512,N/A,0.799
Senegal,Africa,0.512,0.453,0.159,N/A,0.06,0.003,0.588,0.579,0.129,N/A
Serbia,Other,0.797,0.772,0.277,0.375,0.289,N/A,0.834,0.588,0.143,0.527
Seychelles,Africa,0.835,0.707,0.443,N/A,0.01,0.001,0.624,0.781,N/A,0.16
Sierra Leone,Africa,0.117,0.342,0.088,N/A,0.309,0.013,0.412,0.573,0.016,N/A
Singapore,ASEAN,0.932,1,0.84,1,0.011,0.007,0.991,0.938,N/A,0.78
Slovakia,OECD,0.867,0.892,0.464,0.583,0.215,0.003,0.832,0.742,0.257,0.453
Slovenia,OECD,0.867,0.9,0.409,0.583,0.263,0.004,0.846,0.782,0.154,0.29
Solomon Islands,Other,0.321,0.365,0.167,0.375,0.004,0.003,0.528,0.724,0.131,N/A
Somalia,Africa,0.149,0.29,0.193,0.042,0.427,0.016,0,0.044,0,N/A
South Africa,Africa,0.715,0.71,0.13,0.75,0.047,0.001,0.704,0.482,N/A,0.604
Spain,OECD,0.932,0.919,0.158,0.833,0.219,0.006,0.867,0.7,0.322,0.653
Sri Lanka,Other,0.378,0.552,0.091,0.375,0.332,0.008,0.626,0.514,N/A,0.366
St Pierre & Miquelon,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudan,Africa,0.202,0.227,0,0.208,0.274,0.003,0.371,0.153,N/A,N/A
Suriname,LAC,0.708,0.568,N/A,N/A,0.142,0.002,0.412,0.703,0.069,0.235
Swaziland,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sweden,OECD,0.946,0.955,0.23,0.875,0.677,0.01,0.928,0.821,0.538,0.599
Switzerland,OECD,0.951,0.993,0.323,0.917,0.311,0.012,0.847,0.869,N/A,0.867
Syria,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taiwan,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tajikistan,Other,0.426,0.322,0.141,0.25,0.48,0.003,0.618,0.479,N/A,N/A
Tanzania,Africa,0.145,0.402,0.063,N/A,N/A,0.007,0.516,0.55,0.073,N/A
Thailand,ASEAN,0.801,0.788,0.287,0.667,0.223,0.003,0.9,0.511,0.641,0.732
Togo,Africa,0.249,0.375,0.133,0.25,0.141,0.006,0.633,0.426,0.118,N/A
Tonga,Other,0.546,0.598,0.185,N/A,0.016,N/A,0.62,0.859,0.18,0.088
Trinidad & Tobago,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tunisia,Africa,0.669,0.635,0.241,N/A,0.02,0.003,0.729,0.469,0.252,0.409
Turkey,OECD,N/A,0.803,N/A,N/A,N/A,N/A,0.85,N/A,N/A,N/A
Turkmenistan,Other,N/A,N/A,0.074,N/A,0.001,0.001,N/A,0.571,N/A,N/A
Turks & Caicos Is,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tuvalu,Other,0.64,N/A,N/A,N/A,0.081,N/A,N/A,0.888,N/A,N/A
Uganda,Africa,0.037,0.382,0.075,N/A,0.418,0.01,0.599,0.436,0.062,N/A
Ukraine,Other,0.762,0.711,0.198,0.333,0.098,0.002,0.751,0.295,N/A,0.563
United Arab Emirates,Other,1,0.966,0.471,0.875,0.01,0.002,0.912,0.761,N/A,0.733
United Kingdom,OECD,0.95,0.961,0.143,0.75,N/A,0.006,0.951,0.728,0.494,0.702
United States,OECD,0.907,N/A,0.043,0.792,N/A,0.003,0.958,0.614,0.857,0.867
Uruguay,LAC,0.863,0.851,0.116,0.458,0.657,0.006,0.621,0.848,0.135,0.471
Uzbekistan,Other,0.765,0.6,0.139,0.292,0.016,0.001,0.747,0.555,0.144,0.557
Vanuatu,Other,0.386,0.51,0.171,N/A,0.027,0.002,0.615,0.821,0.235,0.137
Venezuela,LAC,N/A,0.585,N/A,0.167,N/A,N/A,0.153,0.307,N/A,N/A
Vietnam,ASEAN,0.72,0.722,0.435,0.583,0.195,0.002,0.746,0.6,N/A,0.627
Virgin Islands,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wallis and Futuna,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Bank,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Western Sahara,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yemen,Other,0.068,0.188,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A
Zambia,Africa,0.224,0.413,0.178,N/A,0.264,0.005,0.702,0.63,N/A,N/A
Zimbabwe,Africa,0.285,0.374,0.119,0.25,0.118,0.003,0.516,0.398,N/A,0.113
